Country Name,Country Code,Proportion of seats held by women in national parliaments (%),GDP per capita
Aruba,ABW,,
Africa Eastern and Southern,AFE,30.13,1356.70
Afghanistan,AFG,27.02,516.75
Africa Western and Central,AFW,16.35,1710.07
Angola,AGO,30.00,1776.17
Albania,ALB,29.51,5246.29
Andorra,AND,46.43,40897.33
Arab World,ARB,19.55,5586.78
United Arab Emirates,ARE,50.00,36284.56
Argentina,ARG,40.86,8579.02
Armenia,ARM,23.48,4266.02
American Samoa,ASM,,12844.90
Antigua and Barbuda,ATG,11.11,13992.74
Australia,AUS,30.46,51692.84
Austria,AUT,39.34,48586.80
Azerbaijan,AZE,17.36,4221.41
Burundi,BDI,38.21,238.99
Belgium,BEL,41.33,45159.35
Benin,BEN,7.23,1291.04
Burkina Faso,BFA,6.30,857.93
Bangladesh,BGD,20.92,1961.61
Bulgaria,BGR,26.67,10079.20
Bahrain,BHR,15.00,20409.95
"Bahamas, The",BHS,12.82,25194.03
Bosnia and Herzegovina,BIH,26.19,6079.74
Belarus,BLR,40.00,6424.15
Belize,BLZ,9.68,4115.18
Bermuda,BMU,,107079.48
Bolivia,BOL,46.15,3133.10
Brazil,BRA,14.62,6796.84
Barbados,BRB,20.00,15373.85
Brunei Darussalam,BRN,9.09,27442.95
Bhutan,BTN,14.89,3000.78
Botswana,BWA,10.77,6404.90
Central African Republic,CAF,8.57,492.80
Canada,CAN,28.99,43258.18
Central Europe and the Baltics,CEB,24.99,16168.30
Switzerland,CHE,41.50,87097.04
Channel Islands,CHI,,
Chile,CHL,22.58,13231.70
China,CHN,24.94,10434.78
Cote d'Ivoire,CIV,11.37,2325.72
Cameroon,CMR,33.89,1537.13
"Congo, Dem. Rep.",COD,12.80,543.95
"Congo, Rep.",COG,11.26,1846.13
Colombia,COL,18.34,5334.56
Comoros,COM,16.67,1420.66
Cabo Verde,CPV,25.00,3064.27
Costa Rica,CRI,45.61,12140.85
Caribbean small states,CSS,25.50,8873.52
Cuba,CUB,53.22,9477.85
Curacao,CUW,,16745.72
Cayman Islands,CYM,,85082.53
Cyprus,CYP,19.64,26623.80
Czech Republic,CZE,22.50,22932.22
Germany,DEU,31.17,46208.43
Djibouti,DJI,26.15,3425.48
Dominica,DMA,34.38,7003.86
Denmark,DNK,39.66,61063.32
Dominican Republic,DOM,27.89,7268.20
Algeria,DZA,25.76,3306.86
East Asia & Pacific (excluding high income),EAP,21.54,8254.67
Early-demographic dividend,EAR,24.45,3201.65
East Asia & Pacific,EAS,21.33,11477.79
Europe & Central Asia (excluding high income),ECA,23.57,7668.52
Europe & Central Asia,ECS,30.29,23960.99
Ecuador,ECU,39.42,5600.39
"Egypt, Arab Rep.",EGY,27.41,3569.21
Euro area,EMU,33.86,37968.26
Eritrea,ERI,,
Spain,ESP,44.00,27063.19
Estonia,EST,28.71,23027.03
Ethiopia,ETH,38.76,936.34
European Union,EUU,32.41,34149.29
Fragile and conflict affected situations,FCS,20.62,1619.66
Finland,FIN,46.00,48773.28
Fiji,FJI,19.61,5057.63
France,FRA,39.51,39030.36
Faroe Islands,FRO,,64225.26
"Micronesia, Fed. Sts.",FSM,0.00,3565.29
Gabon,GAB,14.79,6881.72
United Kingdom,GBR,33.85,41124.53
Georgia,GEO,20.67,4266.69
Ghana,GHA,13.09,2205.53
Gibraltar,GIB,,
Guinea,GIN,16.67,1194.04
"Gambia, The",GMB,8.62,773.00
Guinea-Bissau,GNB,13.73,727.52
Equatorial Guinea,GNQ,21.00,7143.24
Greece,GRC,21.67,17622.54
Grenada,GRD,46.67,9261.55
Greenland,GRL,,53041.30
Guatemala,GTM,19.38,4603.34
Guam,GUM,,34624.34
Guyana,GUY,35.71,6955.94
High income,HIC,30.33,43950.09
"Hong Kong SAR, China",HKG,,46323.86
Honduras,HND,21.09,2389.01
Heavily indebted poor countries (HIPC),HPC,25.24,966.29
Croatia,HRV,31.13,14134.16
Haiti,HTI,,1272.37
Hungary,HUN,12.06,15980.74
IBRD only,IBD,24.27,6149.36
IDA & IBRD total,IBT,23.50,4890.79
IDA total,IDA,22.32,1309.52
IDA blend,IDB,21.07,1674.92
Indonesia,IDN,20.35,3869.59
IDA only,IDX,22.62,1125.18
Isle of Man,IMN,,86481.55
India,IND,14.36,1927.71
Not classified,INX,,
Ireland,IRL,22.50,85267.76
"Iran, Islamic Rep.",IRN,5.59,2422.48
Iraq,IRQ,26.44,4145.86
Iceland,ISL,38.10,59270.18
Israel,ISR,27.50,44168.94
Italy,ITA,35.71,31714.22
Jamaica,JAM,28.57,4664.53
Jordan,JOR,11.54,4282.77
Japan,JPN,9.89,40193.25
Kazakhstan,KAZ,27.10,9122.23
Kenya,KEN,21.78,1878.58
Kyrgyz Republic,KGZ,16.52,1173.61
Cambodia,KHM,20.00,1543.67
Kiribati,KIR,8.89,1653.54
St. Kitts and Nevis,KNA,25.00,18437.75
"Korea, Rep.",KOR,19.00,31631.47
Kuwait,KWT,6.35,24811.77
Latin America & Caribbean (excluding high income),LAC,34.54,6779.20
Lao PDR,LAO,27.52,2629.71
Lebanon,LBN,4.69,4649.55
Liberia,LBR,12.33,632.94
Libya,LBY,15.96,3699.29
St. Lucia,LCA,16.67,8804.56
Latin America & Caribbean,LCN,32.76,7244.66
Least developed countries: UN classification,LDC,24.19,1051.88
Low income,LIC,22.49,688.03
Liechtenstein,LIE,12.00,175813.88
Sri Lanka,LKA,5.38,3680.67
Lower middle income,LMC,21.84,2217.21
Low & middle income,LMY,23.91,4754.52
Lesotho,LSO,23.33,875.35
Late-demographic dividend,LTE,22.19,9679.40
Lithuania,LTU,26.95,20233.64
Luxembourg,LUX,30.00,116014.60
Latvia,LVA,30.00,17726.25
"Macao SAR, China",MAC,,39403.14
St. Martin (French part),MAF,,
Morocco,MAR,20.51,3009.25
Monaco,MCO,33.33,190512.74
Moldova,MDA,24.75,4547.06
Madagascar,MDG,17.88,471.49
Maldives,MDV,4.60,6924.11
Middle East & North Africa,MEA,18.33,6514.34
Mexico,MEX,48.20,8329.27
Marshall Islands,MHL,6.06,4129.85
Middle income,MIC,24.27,5216.95
North Macedonia,MKD,39.17,5917.26
Mali,MLI,27.89,862.45
Malta,MLT,13.43,27884.64
Myanmar,MMR,16.83,1467.60
Middle East & North Africa (excluding high income),MNA,18.43,3018.43
Montenegro,MNE,22.22,7677.15
Mongolia,MNG,17.33,4060.95
Northern Mariana Islands,MNP,,20659.64
